,Country
0,Afghanistan 
1,
2,
3,
4,Andorra 
5,
6,
7,
8,
9,Armenia 
10,
11,
12,Austria 
13,Azerbaijan 
14,
15,
16,
17,
18,Belarus 
19,
20,
21,
22,
23,Bhutan 
24,Bolivia 
25,
26,Botswana 
27,
28,
29,
30,
31,Burkina Faso 
32,
33,Burundi 
34,
35,
36,
37,
38,
39,Central African Rep. 
40,Chad 
41,
42,
43,
44,
45,"Congo, Dem. Rep. "
46,
47,
48,
49,
50,
51,
52,
53,Czech Republic 
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,Ethiopia 
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,Hungary 
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,Kazakhstan 
107,
108,
109,
110,
111,
112,Kyrgyzstan 
113,Laos 
114,
115,
116,Lesotho 
117,
118,
119,Liechtenstein 
120,
121,Luxembourg 
122,
123,Macedonia 
124,
125,Malawi 
126,
127,
128,Mali 
129,
130,
131,
132,
133,
134,
135,
136,
137,Moldova 
138,
139,Mongolia 
140,
141,
142,
143,
144,
145,Nepal 
146,
147,
148,
149,
150,
151,Niger 
152,
153,
154,
155,
156,
157,
158,
159,
160,Paraguay 
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,Rwanda 
171,
172,
173,
174,
175,
176,
177,San Marino 
178,
179,
180,
181,Serbia 
182,
183,
184,
185,Slovakia 
186,
187,
188,
189,
190,
191,
192,
193,
194,Swaziland 
195,
196,Switzerland 
197,
198,
199,Tajikistan 
200,
201,
202,
203,
204,
205,
206,
207,Turkmenistan 
208,
209,
210,Uganda 
211,
212,
213,
214,
215,
216,Uzbekistan 
217,
218,
219,
220,
221,
222,West Bank 
223,
224,
225,Zambia 
226,Zimbabwe 
